species_common,species_scientific,inventory,tree_id,dbh_cm,height_m,risk_class
Narra,Pterocarpus indicus,Bachelors_Garden,1,32.8,13.28,Low
Narra,Pterocarpus indicus,Bachelors_Garden,17,34,14.11,Low
Narra,Pterocarpus indicus,Bachelors_Garden,18,32,12.45,Moderate
Narra,Pterocarpus indicus,Bachelors_Garden,19,25,14.94,Moderate
Narra,Pterocarpus indicus,Bachelors_Garden,20,30.5,15.77,Low
Narra,Pterocarpus indicus,Bachelors_Garden,22,62,16.6,Moderate
Narra,Pterocarpus indicus,Bachelors_Garden,23,31,14.94,Low
Narra,Pterocarpus indicus,Bachelors_Garden,29,22.6,14.11,Low
Narra,Pterocarpus indicus,Bachelors_Garden,32,73,18.26,Low
Narra,Pterocarpus indicus,Bachelors_Garden,33,16,12.45,Low
Narra,Pterocarpus indicus,Bachelors_Garden,34,77,21.58,Low
Narra,Pterocarpus indicus,Bachelors_Garden,39,29,15.77,Low
Narra,Pterocarpus indicus,Bachelors_Garden,40,36.5,15.77,Low
Narra,Pterocarpus indicus,Bachelors_Garden,53,15,11.62,Low
Narra,Pterocarpus indicus,Bachelors_Garden,54,11.5,11.62,Low
Narra,Pterocarpus indicus,Bachelors_Garden,55,11.5,11.62,Low
Narra,Pterocarpus indicus,Bachelors_Garden,56,46,17.43,Low
Narra,Pterocarpus indicus,Bachelors_Garden,57,16,11.62,Low
Narra,Pterocarpus indicus,Bachelors_Garden,58,12.3,5.64,Low
Narra,Pterocarpus indicus,Bachelors_Garden,60,15,10.77,Low
Narra,Pterocarpus indicus,Bachelors_Garden,61,47.1,17.43,Low
Narra,Pterocarpus indicus,Bachelors_Garden,62,15,12.45,High
Narra,Pterocarpus indicus,Bachelors_Garden,63,11.6,11.62,Low
Narra,Pterocarpus indicus,Bachelors_Garden,64,51,18.26,Low
Narra,Pterocarpus indicus,Bachelors_Garden,65,12.2,11.62,Low
Narra,Pterocarpus indicus,Bachelors_Garden,66,11,10.77,Moderate
Narra,Pterocarpus indicus,Bachelors_Garden,67,32.5,17.43,Low
Narra,Pterocarpus indicus,Bachelors_Garden,69,42.7,17.43,Low
Narra,Pterocarpus indicus,Bachelors_Garden,70,16.5,13.28,Low
Narra,Pterocarpus indicus,Bachelors_Garden,72,10.1,5.64,Low
Narra,Pterocarpus indicus,Bachelors_Garden,76,56,15.77,Low
Narra,Pterocarpus indicus,Bachelors_Garden,77,11.9,8.3,Low
Narra,Pterocarpus indicus,Bachelors_Garden,78,25.5,13.28,Low
Narra,Pterocarpus indicus,Bachelors_Garden,79,56.7,20.75,Low
Narra,Pterocarpus indicus,Bachelors_Garden,83,49,16.6,High
Narra,Pterocarpus indicus,Bachelors_Garden,84,70.5,18.26,Low
Narra,Pterocarpus indicus,Bachelors_Garden,93,68.2,18.26,Low
Narra,Pterocarpus indicus,Bachelors_Garden,102,34,13.28,Moderate
Narra,Pterocarpus indicus,Bachelors_Garden,115,38.3,13.28,Moderate
Narra,Pterocarpus indicus,Bachelors_Garden,119,24,13.28,High
Narra,Pterocarpus indicus,Western_Section,230,33.5,7.8,High
Narra,Pterocarpus indicus,Western_Section,255,41,15.11,High
Narra,Pterocarpus indicus,Western_Section,632,78,13.27,High
Narra,Pterocarpus indicus,Western_Section,1,58.1,12.12,Low
Narra,Pterocarpus indicus,Western_Section,2,69.7,12.12,Low
Narra,Pterocarpus indicus,Western_Section,75,18.1,7.9,Low
Narra,Pterocarpus indicus,Western_Section,113,25.6,17.85,Low
Narra,Pterocarpus indicus,Western_Section,121,7,4.46,Low
Narra,Pterocarpus indicus,Western_Section,137,6.7,4.81,Low
Narra,Pterocarpus indicus,Western_Section,138,10.5,6.97,Low
Narra,Pterocarpus indicus,Western_Section,140,8.5,3.57,Low
Narra,Pterocarpus indicus,Western_Section,142,6.8,5.15,Low
Narra,Pterocarpus indicus,Western_Section,144,8.2,3.98,Low
Narra,Pterocarpus indicus,Western_Section,146,14,8.3,Low
Narra,Pterocarpus indicus,Western_Section,148,24.3,13.28,Low
Narra,Pterocarpus indicus,Western_Section,169,81,16.6,Low
Narra,Pterocarpus indicus,Western_Section,172,19.3,8.3,Low
Narra,Pterocarpus indicus,Western_Section,174,29,12.45,Low
Narra,Pterocarpus indicus,Western_Section,175,57.2,15.77,Low
Narra,Pterocarpus indicus,Western_Section,178,27.8,7.14,Low
Narra,Pterocarpus indicus,Western_Section,179,30.1,16.6,Low
Narra,Pterocarpus indicus,Western_Section,180,42,16.6,Low
Narra,Pterocarpus indicus,Western_Section,181,11.1,6.3,Low
Narra,Pterocarpus indicus,Western_Section,183,77.1,18.26,Low
Narra,Pterocarpus indicus,Western_Section,184,58,16.6,Low
Narra,Pterocarpus indicus,Western_Section,187,51.5,17.02,Low
Narra,Pterocarpus indicus,Western_Section,191,34,12.45,Low
Narra,Pterocarpus indicus,Western_Section,192,36,16.6,Low
Narra,Pterocarpus indicus,Western_Section,197,40.2,11.62,Low
Narra,Pterocarpus indicus,Western_Section,199,41,14.94,Low
Narra,Pterocarpus indicus,Western_Section,209,18.8,11.21,Low
Narra,Pterocarpus indicus,Western_Section,222,16.5,4.98,Low
Narra,Pterocarpus indicus,Western_Section,225,28,4.64,Low
Narra,Pterocarpus indicus,Western_Section,226,22.3,6.81,Low
Narra,Pterocarpus indicus,Western_Section,227,27.8,6.97,Low
Narra,Pterocarpus indicus,Western_Section,228,59.5,16.19,Low
Narra,Pterocarpus indicus,Western_Section,231,57.6,15.36,Low
Narra,Pterocarpus indicus,Western_Section,232,25.3,7.39,Low
Narra,Pterocarpus indicus,Western_Section,233,59.5,14.53,Low
Narra,Pterocarpus indicus,Western_Section,234,47,13.28,Low
Narra,Pterocarpus indicus,Western_Section,235,36.3,12.45,Low
Narra,Pterocarpus indicus,Western_Section,236,43.5,10.45,Low
Narra,Pterocarpus indicus,Western_Section,238,30.5,14.94,Low
Narra,Pterocarpus indicus,Western_Section,239,25,8.3,Low
Narra,Pterocarpus indicus,Western_Section,248,47,14.11,Low
Narra,Pterocarpus indicus,Western_Section,249,32,9.96,Low
Narra,Pterocarpus indicus,Western_Section,251,42.5,9.96,Low
Narra,Pterocarpus indicus,Western_Section,252,39.1,15.36,Low
Narra,Pterocarpus indicus,Western_Section,253,29.2,5.81,Low
Narra,Pterocarpus indicus,Western_Section,254,38,15.11,Low
Narra,Pterocarpus indicus,Western_Section,256,18.2,8.63,Low
Narra,Pterocarpus indicus,Western_Section,257,50,15.11,Low
Narra,Pterocarpus indicus,Western_Section,258,24.6,6.64,Low
Narra,Pterocarpus indicus,Western_Section,259,45.3,15.27,Low
Narra,Pterocarpus indicus,Western_Section,260,42,14.11,Low
Narra,Pterocarpus indicus,Western_Section,289,10.6,6.64,Low
Narra,Pterocarpus indicus,Western_Section,302,6,3.32,Low
Narra,Pterocarpus indicus,Western_Section,317,30.8,9.96,Low
Narra,Pterocarpus indicus,Western_Section,336,7,2.99,Low
Narra,Pterocarpus indicus,Western_Section,406,41,11.5,Low
Narra,Pterocarpus indicus,Western_Section,445,48.5,6.64,Low
Narra,Pterocarpus indicus,Western_Section,448,16,6.64,Low
Narra,Pterocarpus indicus,Western_Section,449,34,6.64,Low
Narra,Pterocarpus indicus,Western_Section,450,12.2,4.98,Low
Narra,Pterocarpus indicus,Western_Section,451,21,6.64,Low
Narra,Pterocarpus indicus,Western_Section,456,32,9.96,Low
Narra,Pterocarpus indicus,Western_Section,457,28.1,9.96,Low
Narra,Pterocarpus indicus,Western_Section,463,46,15.77,Low
Narra,Pterocarpus indicus,Western_Section,464,51,15.77,Low
Narra,Pterocarpus indicus,Western_Section,465,49,15.77,Low
Narra,Pterocarpus indicus,Western_Section,466,35,13.28,Low
Narra,Pterocarpus indicus,Western_Section,467,41,15.77,Low
Narra,Pterocarpus indicus,Western_Section,468,43,13.28,Low
Narra,Pterocarpus indicus,Western_Section,469,40,13.28,Low
