category,parameter,level,value,secpi_mean,secpi_std
Baseline,Baseline,mid,-,2.665383333333333,0.00044783429475148313
Species_Morphology,Narra.crown_diameter_m,low,12.0,2.66475,0.0
Species_Morphology,Narra.crown_diameter_m,high,34.0,2.7190999999999996,4.440892098500626e-16
Species_Morphology,Narra.height_m,low,24.0,2.7193166666666664,0.000542115198909679
Species_Morphology,Narra.height_m,high,36.0,2.7175833333333337,0.0010842303978193582
Species_Morphology,Talisay.crown_diameter_m,low,9.0,2.7175833333333337,0.0010842303978193582
Species_Morphology,Talisay.crown_diameter_m,high,15.0,2.7195500000000004,0.0008485281374239729
Species_Morphology,Talisay.height_m,low,28.0,2.7183499999999996,4.440892098500626e-16
Species_Morphology,Talisay.height_m,high,42.0,2.7194833333333333,0.0024277332820738075
Species_Morphology,Banaba.crown_diameter_m,low,10.0,2.7203166666666667,0.0012492219800964628
Species_Morphology,Banaba.crown_diameter_m,high,12.0,2.7194833333333333,0.0024277332820738075
Species_Morphology,Banaba.height_m,low,9.0,2.7212,0.0
Species_Morphology,Banaba.height_m,high,18.0,2.7194833333333333,0.0024277332820738075
Species_Morphology,Kabiki.crown_diameter_m,low,10.0,2.7194833333333333,0.0024277332820738075
Species_Morphology,Kabiki.crown_diameter_m,high,12.0,2.7203166666666667,0.0012492219800964626
Species_Morphology,Kabiki.height_m,low,9.0,2.7194833333333333,0.0024277332820738075
Species_Morphology,Kabiki.height_m,high,18.0,2.7194333333333334,0.0012492219800964628
Species_Morphology,Duhat.crown_diameter_m,low,8.0,2.718549999999999,4.440892098500626e-16
Species_Morphology,Duhat.crown_diameter_m,high,11.0,2.7194833333333333,0.0024277332820738075
Species_Morphology,Duhat.height_m,low,14.0,2.7212,0.0
Species_Morphology,Duhat.height_m,high,30.0,2.7212,0.0
Species_Morphology,Akleng-parang.crown_diameter_m,low,18.0,2.7212,0.0
Species_Morphology,Akleng-parang.crown_diameter_m,high,30.0,2.7197333333333336,0.0020741798914805203
Species_Morphology,Akleng-parang.height_m,low,18.0,2.7212,0.0
Species_Morphology,Akleng-parang.height_m,high,30.0,2.716916666666666,0.0006128258770281691
Species_Allometry,Narra.l0,low,0.2125,2.720216666666667,0.00174419672692673
Species_Allometry,Narra.l0,high,0.2875,2.7209499999999998,0.0
Species_Allometry,Narra.l1,low,1.615,2.718116666666667,0.0018620478571244226
Species_Allometry,Narra.l1,high,2.1849999999999996,2.7212,0.0
Species_Allometry,Narra.h0,low,43.52,2.72005,0.0
Species_Allometry,Narra.h0,high,58.879999999999995,2.7217,0.0
Species_Allometry,Narra.h1,low,0.6375,2.720683333333333,0.0019327585352431217
Species_Allometry,Narra.h1,high,0.8624999999999999,2.7184333333333335,0.002249567859735573
Species_Allometry,Talisay.l0,low,0.17,2.72125,0.0
Species_Allometry,Talisay.l0,high,0.22999999999999998,2.7190833333333333,0.001814907405045429
Species_Allometry,Talisay.l1,low,1.53,2.7217,0.0
Species_Allometry,Talisay.l1,high,2.07,2.7203666666666666,0.001814907405045429
Species_Allometry,Talisay.h0,low,40.120000000000005,2.7206499999999996,0.001979898987322324
Species_Allometry,Talisay.h0,high,54.28,2.719883333333333,0.0015084944665311355
Species_Allometry,Talisay.h1,low,0.6034999999999999,2.7207500000000002,4.440892098500626e-16
Species_Allometry,Talisay.h1,high,0.8164999999999999,2.7200666666666664,0.0016027753706895406
Species_Allometry,Banaba.l0,low,0.17,2.7200666666666664,0.0016027753706895406
Species_Allometry,Banaba.l0,high,0.22999999999999998,2.7212,0.0
Species_Allometry,Banaba.l1,low,1.53,2.7212,0.0
Species_Allometry,Banaba.l1,high,2.07,2.7200666666666664,0.0016027753706895406
Species_Allometry,Banaba.h0,low,38.93,2.7212,0.0
Species_Allometry,Banaba.h0,high,52.669999999999995,2.7212,0.0
Species_Allometry,Banaba.h1,low,0.612,2.7212,0.0
Species_Allometry,Banaba.h1,high,0.828,2.7183500000000005,0.0021381456139998216
Species_Allometry,Kabiki.l0,low,0.187,2.7200666666666664,0.0016027753706895406
Species_Allometry,Kabiki.l0,high,0.253,2.7200666666666664,0.0016027753706895406
Species_Allometry,Kabiki.l1,low,1.5725,2.7212,0.0
Species_Allometry,Kabiki.l1,high,2.1275,2.7200666666666664,0.0016027753706895406
Species_Allometry,Kabiki.h0,low,41.225,2.7200666666666664,0.0016027753706895406
Species_Allometry,Kabiki.h0,high,55.775,2.7212,0.0
Species_Allometry,Kabiki.h1,low,0.6204999999999999,2.7212,0.0
Species_Allometry,Kabiki.h1,high,0.8394999999999999,2.7200666666666664,0.0016027753706895406
Species_Allometry,Duhat.l0,low,0.153,2.7200666666666664,0.0016027753706895406
Species_Allometry,Duhat.l0,high,0.207,2.7212,0.0
Species_Allometry,Duhat.l1,low,1.4875,2.7200666666666664,0.0016027753706895406
Species_Allometry,Duhat.l1,high,2.0124999999999997,2.7200666666666664,0.0016027753706895406
Species_Allometry,Duhat.h0,low,35.955,2.718866666666667,0.0015084944665313446
Species_Allometry,Duhat.h0,high,48.644999999999996,2.7212,0.0
Species_Allometry,Duhat.h1,low,0.595,2.7212,0.0
Species_Allometry,Duhat.h1,high,0.8049999999999999,2.7200666666666664,0.0016027753706895406
Species_Allometry,Akleng-parang.l0,low,0.1275,2.7212,0.0
Species_Allometry,Akleng-parang.l0,high,0.1725,2.7212,0.0
Species_Allometry,Akleng-parang.l1,low,1.4024999999999999,2.7194833333333333,0.0024277332820738075
Species_Allometry,Akleng-parang.l1,high,1.8974999999999997,2.7212,0.0
Species_Allometry,Akleng-parang.h0,low,39.185,2.7194833333333333,0.0024277332820738075
Species_Allometry,Akleng-parang.h0,high,53.015,2.7194833333333333,0.0024277332820738075
Species_Allometry,Akleng-parang.h1,low,0.5780000000000001,2.7197333333333336,0.0020741798914805203
Species_Allometry,Akleng-parang.h1,high,0.782,2.718633333333333,0.0018149074050456385
Cooling_Model,decay_lambda,low,0.05,2.7252500000000004,4.440892098500626e-16
