parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Narra.crown_diameter_m,Species_Morphology,2.9359333333333333,4.188183333333334,1.2522500000000005,0.41895282703245246
Talisay.height_m,Species_Morphology,4.179416666666667,4.145383333333333,0.03403333333333336,0.01138619382179102
cca_threshold,Cooling_Model,4.192,4.159299999999999,0.03270000000000106,0.010940113750418553
Kabiki.l0,Species_Allometry,4.156983333333334,4.189583333333333,0.03259999999999952,0.010906657745065077
Akleng-parang.height_m,Species_Morphology,4.138983333333333,4.166449999999999,0.027466666666666306,0.009189249470279794
Akleng-parang.h1,Species_Allometry,4.171766666666667,4.1453,0.02646666666666686,0.008854689416750371
Narra.height_m,Species_Morphology,4.173033333333334,4.147166666666667,0.025866666666666482,0.00865395338463248
Kabiki.h0,Species_Allometry,4.164249999999999,4.139666666666667,0.02458333333333229,0.00822460131593586
Talisay.crown_diameter_m,Species_Morphology,4.1697,4.145416666666667,0.02428333333333299,0.008124233299877213
Duhat.l1,Species_Allometry,4.153066666666667,4.174666666666667,0.021600000000000286,0.007226497156239639
Narra.l0,Species_Allometry,4.178883333333334,4.159083333333333,0.019800000000000928,0.0066242890598865595
Kabiki.l1,Species_Allometry,4.165033333333333,4.184200000000001,0.019166666666667886,0.006412401025984571
Banaba.h1,Species_Allometry,4.16635,4.1827,0.0163499999999992,0.005470056875208832
Talisay.h1,Species_Allometry,4.152933333333333,4.1688833333333335,0.01595000000000013,0.0053362328537973
Akleng-parang.h0,Species_Allometry,4.17605,4.160666666666667,0.015383333333333304,0.005146648823463802
Narra.h1,Species_Allometry,4.178466666666666,4.163516666666666,0.014949999999999797,0.005001672800267579
Duhat.l0,Species_Allometry,4.165516666666666,4.179433333333333,0.0139166666666668,0.004655960744953763
Banaba.l0,Species_Allometry,4.175233333333334,4.16135,0.013883333333334136,0.004644808743169667
Akleng-parang.l1,Species_Allometry,4.1573,4.170483333333332,0.013183333333332214,0.004410616705698298
Banaba.l1,Species_Allometry,4.15675,4.169766666666667,0.01301666666666712,0.0043548566967772226
Kabiki.h1,Species_Allometry,4.1749833333333335,4.162066666666667,0.012916666666666465,0.004321400691424043
Duhat.h0,Species_Allometry,4.16875,4.180583333333334,0.011833333333333584,0.003958960633433785
Talisay.l1,Species_Allometry,4.1641,4.173816666666666,0.00971666666666593,0.0032508085201291164
Narra.l1,Species_Allometry,4.164,4.173266666666667,0.009266666666666978,0.0031002564960411435
competition_k,Cooling_Model,4.162999999999999,4.171749999999999,0.008750000000000036,0.0029274004683840864
Talisay.h0,Species_Allometry,4.17305,4.1649,0.008149999999999658,0.0027266644362661948
Kabiki.crown_diameter_m,Species_Morphology,4.166633333333333,4.158616666666667,0.008016666666666339,0.0026820564291289185
Akleng-parang.crown_diameter_m,Species_Morphology,4.165466666666666,4.172633333333334,0.007166666666667432,0.002397680383629117
Narra.h0,Species_Allometry,4.1627833333333335,4.155683333333333,0.007100000000000328,0.0023753763800603302
Banaba.h0,Species_Allometry,4.17005,4.163383333333333,0.006666666666666821,0.002230400356864108
Kabiki.height_m,Species_Morphology,4.162933333333333,4.156266666666666,0.006666666666666821,0.002230400356864108
Duhat.crown_diameter_m,Species_Morphology,4.146450000000001,4.1523,0.005849999999999689,0.0019571763131481057
decay_lambda,Cooling_Model,4.176033333333333,4.171783333333333,0.004249999999999865,0.0014218802275007911
Talisay.l0,Species_Allometry,4.166416666666667,4.162483333333333,0.003933333333333344,0.0013159362105497972
Akleng-parang.l0,Species_Allometry,4.1743,4.170783333333333,0.0035166666666670565,0.0011765361882459203
Banaba.crown_diameter_m,Species_Morphology,4.159400000000001,4.15615,0.0032500000000004192,0.001087320173971368
shade_weight,Weighting,4.16285,4.164899999999999,0.002049999999999663,0.0006858481097355848
Banaba.height_m,Species_Morphology,4.163566666666667,4.165483333333333,0.0019166666666663446,0.0006412401025983086
Duhat.h1,Species_Allometry,4.1756166666666665,4.177083333333333,0.0014666666666665051,0.0004906880785100385
Duhat.height_m,Species_Morphology,4.156716666666667,4.157433333333333,0.0007166666666655885,0.0002397680383625254
