parameter,category,secpi_low,secpi_high,absolute_effect,sensitivity_index
Duhat.crown_diameter_m,Species_Morphology,2.445133333333333,3.3290333333333333,0.8839000000000001,0.32422221271236695
Talisay.crown_diameter_m,Species_Morphology,2.8730666666666664,3.7051,0.8320333333333334,0.3051970679757661
Talisay.height_m,Species_Morphology,3.393916666666667,2.5808,0.8131166666666672,0.2982582700078865
Narra.crown_diameter_m,Species_Morphology,2.8566499999999997,3.2929,0.43625000000000025,0.16002029674824092
Narra.height_m,Species_Morphology,3.708166666666667,3.314733333333333,0.3934333333333342,0.14431477077512822
Kabiki.crown_diameter_m,Species_Morphology,2.9125499999999995,2.53525,0.3772999999999995,0.13839692369767606
Banaba.height_m,Species_Morphology,3.29775,2.9593666666666665,0.3383833333333337,0.12412195166684
Akleng-parang.height_m,Species_Morphology,3.6686333333333336,3.339816666666666,0.3288166666666674,0.12061281507339257
Akleng-parang.crown_diameter_m,Species_Morphology,3.6597833333333334,3.336766666666667,0.3230166666666663,0.11848532459513474
cca_threshold,Cooling_Model,2.7768333333333337,2.6424499999999997,0.13438333333333397,0.04929297622468278
Banaba.crown_diameter_m,Species_Morphology,3.7472999999999996,3.6550333333333334,0.09226666666666627,0.033844216343772965
Duhat.height_m,Species_Morphology,3.2910333333333335,3.3710999999999998,0.08006666666666629,0.029369150165369444
shade_weight,Weighting,2.55775,2.6306499999999997,0.07289999999999974,0.026740354459476708
Banaba.l0,Species_Allometry,2.7459930896119467,2.684429709731248,0.06156337988069849,0.02258198353543622
Talisay.h1,Species_Allometry,2.7573116229507115,2.706864606356343,0.05044701659436868,0.01850440473465743
Banaba.h0,Species_Allometry,2.7022449573184324,2.746421989587161,0.04417703226872849,0.016204519915412132
Banaba.l1,Species_Allometry,2.748813721548006,2.7083344747991447,0.040479246748861275,0.014848140004350816
Narra.l0,Species_Allometry,2.7013629728957693,2.741337636764913,0.03997466386914361,0.014663054612610983
Akleng-parang.l1,Species_Allometry,2.735740482178182,2.6978714564003674,0.0378690257778147,0.013890688235031954
Duhat.h1,Species_Allometry,2.731207127074972,2.6980252289304154,0.03318189814455641,0.012171409026388122
Narra.l1,Species_Allometry,2.736802672365574,2.7040088638691286,0.0327938084964452,0.01202905436585935
competition_k,Cooling_Model,2.66705,2.6977833333333336,0.0307333333333335,0.011273254143410035
Kabiki.l1,Species_Allometry,2.707103977288494,2.736098189769843,0.028994212481348924,0.010635329479076224
Duhat.l0,Species_Allometry,2.7097577593448126,2.734906264603628,0.0251485052588154,0.009224690600092459
Akleng-parang.h0,Species_Allometry,2.7265057497392635,2.7018698228020206,0.024635926937242925,0.009036672410694767
Kabiki.l0,Species_Allometry,2.705698885723803,2.7300067670554533,0.024307881331650183,0.00891634242753395
Narra.h1,Species_Allometry,2.7215296946869247,2.7427527615276985,0.021223066840773797,0.007784805624683949
Kabiki.h1,Species_Allometry,2.7426991805318277,2.7234739064574534,0.019225274074374354,0.007051997850882854
decay_lambda,Cooling_Model,2.6428333333333334,2.6268333333333334,0.016000000000000014,0.005868939250365284
Duhat.l1,Species_Allometry,2.7093599322056057,2.724692193459776,0.015332261254170199,0.005624006866965891
Akleng-parang.l0,Species_Allometry,2.7407831207607973,2.7254981057801864,0.015285014980610967,0.005606676522633062
Duhat.h0,Species_Allometry,2.70661166284655,2.7192933813848215,0.01268171853827127,0.004651764730709078
Narra.h0,Species_Allometry,2.7246333998583356,2.7344738244319906,0.009840424573654971,0.0036095533762864175
Kabiki.h0,Species_Allometry,2.7304727865395697,2.7227234725246845,0.007749314014885211,0.0028425158240853476
Banaba.h1,Species_Allometry,2.7016853440996083,2.6945597634315006,0.007125580668107645,0.002613725004043813
Akleng-parang.h1,Species_Allometry,2.721067007858839,2.7144288320351126,0.006638175823726389,0.0024349406651683544
Talisay.l0,Species_Allometry,2.7523875650377945,2.7582836144106615,0.005896049372867029,0.002162722224156931
Talisay.h0,Species_Allometry,2.7285332325470137,2.7237927756957454,0.004740456851268338,0.0017388408299419842
Kabiki.height_m,Species_Morphology,2.974816666666667,2.9721333333333333,0.002683333333333593,0.0009842700201134389
Talisay.l1,Species_Allometry,2.7248151608835727,2.723923490314364,0.0008916705692088023,0.0003270725251265681
